;matches_home_team_id;home_team_name;home_mens_team;home_womens_team;home_womens_team;home_region_name
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-30;France;1;1;1;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-36;Hungary;1;0;0;Europe
;T-80;Turkey;1;0;0;Europe, Asia
;T-80;Turkey;1;0;0;Europe, Asia
;T-80;Turkey;1;0;0;Europe, Asia
;T-80;Turkey;1;0;0;Europe, Asia
;T-80;Turkey;1;0;0;Europe, Asia
;T-80;Turkey;1;0;0;Europe, Asia
;T-80;Turkey;1;0;0;Europe, Asia
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-28;England;1;1;1;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-86;West Germany;1;0;0;Europe
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
